casualty_group,killed,injured,total_casualties,proportion_killed
285,0,0,0,NA
286,0,0,0,NA
287,0,0,0,NA
288,0,0,0,NA
289,0,0,0,NA
290,0,0,0,NA
291,0,10,10,0
292,0,0,0,NA
293,0,2,2,0
294,0,0,0,NA
295,0,0,0,NA
296,0,0,0,NA
297,0,0,0,NA
298,0,0,0,NA
299,0,0,0,NA
300,0,0,0,NA
301,0,0,0,NA
302,0,3,3,0
303,0,0,0,NA
304,7,24,31,0.22580645161290322
305,0,0,0,NA
306,0,0,0,NA
307,1,7,8,0.125
308,3,10,13,0.23076923076923078
309,0,0,0,NA
310,0,0,0,NA
311,0,0,0,NA
312,0,0,0,NA
313,0,0,0,NA
314,0,0,0,NA
315,0,0,0,NA
316,6,8,14,0.42857142857142855
317,15,15,30,0.5
318,5,NA,5,1
319,1,15,16,0.0625
320,0,0,0,NA
321,0,0,0,NA
322,0,3,3,0
323,0,3,3,0
324,5,12,17,0.29411764705882354
325,0,6,6,0
326,0,1,1,0
327,4,14,18,0.2222222222222222
328,0,10,10,0
329,0,0,0,NA
330,0,1,1,0
331,0,0,0,NA
332,0,0,0,NA
333,0,0,0,NA
334,0,0,0,NA
335,0,0,0,NA
336,0,0,0,NA
337,0,0,0,NA
338,1,1,2,0.5
339,0,1,1,0
340,0,0,0,NA
341,0,0,0,NA
342,0,0,0,NA
343,0,0,0,NA
344,0,0,0,NA
345,0,0,0,NA
346,0,2,2,0
347,0,0,0,NA
348,0,0,0,NA
349,0,0,0,NA
350,0,1,1,0
351,0,3,3,0
352,0,0,0,NA
353,2,2,4,0.5
354,3,4,7,0.42857142857142855
355,3,6,9,0.3333333333333333
356,2,NA,2,1
357,0,0,0,NA
358,0,0,0,NA
359,0,0,0,NA
360,0,0,0,NA
361,0,0,0,NA
362,0,0,0,NA
363,0,0,0,NA
364,0,0,0,NA
365,0,0,0,NA
366,0,0,0,NA
367,0,0,0,NA
368,0,0,0,NA
369,6,7,13,0.46153846153846156
370,0,0,0,NA
371,0,0,0,NA
372,0,0,0,NA
373,0,0,0,NA
374,0,0,0,NA
375,0,0,0,NA
376,0,0,0,NA
377,0,0,0,NA
378,0,0,0,NA
379,0,0,0,NA
380,0,0,0,NA
381,0,0,0,NA
382,0,2,2,0
383,0,0,0,NA
384,0,0,0,NA
385,0,0,0,NA
386,1,8,9,0.1111111111111111
387,0,0,0,NA
388,0,0,0,NA
389,0,0,0,NA
390,0,0,0,NA
391,0,0,0,NA
392,0,0,0,NA
393,1,0,1,1
394,0,0,0,NA
395,4,36,40,0.1
396,4,7,11,0.36363636363636365
397,0,0,0,NA
398,0,0,0,NA
399,0,0,0,NA
400,0,0,0,NA
401,12,26,38,0.3157894736842105
402,9,15,24,0.375
403,1,4,5,0.2
404,0,0,0,NA
405,0,0,0,NA
406,2,6,8,0.25
407,0,0,0,NA
408,0,1,1,0
409,0,0,0,NA
410,0,0,0,NA
411,0,0,0,NA
412,0,0,0,NA
413,0,0,0,NA
414,0,0,0,NA
415,6,NA,6,1
416,0,0,0,NA
417,7,9,16,0.4375
418,0,0,0,NA
419,4,2,6,0.6666666666666666
420,0,0,0,NA
421,0,0,0,NA
422,0,0,0,NA
423,0,0,0,NA
424,0,0,0,NA
425,0,0,0,NA
426,17,50,67,0.2537313432835821
427,0,0,0,NA
428,0,0,0,NA
429,0,0,0,NA
430,0,0,0,NA
431,0,0,0,NA
432,0,0,0,NA
433,0,0,0,NA
434,0,2,2,0
435,0,0,0,NA
436,0,0,0,NA
437,0,0,0,NA
438,0,0,0,NA
439,26,79,105,0.24761904761904763
440,0,0,0,NA
441,0,0,0,NA
442,0,0,0,NA
443,0,0,0,NA
444,1,3,4,0.25
445,1,3,4,0.25
446,1,3,4,0.25
447,2,15,17,0.11764705882352941
448,0,0,0,NA
449,0,0,0,NA
450,0,0,0,NA
451,0,0,0,NA
452,0,0,0,NA
453,0,0,0,NA
454,0,0,0,NA
455,0,0,0,NA
456,0,0,0,NA
457,0,0,0,NA
458,0,0,0,NA
459,0,0,0,NA
460,0,0,0,NA
461,0,0,0,NA
462,0,1,1,0
463,0,0,0,NA
464,0,0,0,NA
465,0,0,0,NA
466,0,0,0,NA
467,0,0,0,NA
468,0,6,6,0
469,0,1,1,0
470,0,0,0,NA
471,0,0,0,NA
472,0,0,0,NA
473,0,0,0,NA
474,0,0,0,NA
475,2,2,4,0.5
476,2,4,6,0.3333333333333333
477,0,0,0,NA
478,0,0,0,NA
479,0,8,8,0
480,0,0,0,NA
481,0,22,22,0
482,0,3,3,0
483,0,0,0,NA
484,0,0,0,NA
485,0,0,0,NA
486,0,0,0,NA
487,0,0,0,NA
488,0,0,0,NA
489,1,5,6,0.16666666666666666
490,0,0,0,NA
491,1,5,6,0.16666666666666666
492,0,0,0,NA
493,1,12,13,0.07692307692307693
494,0,0,0,NA
495,0,0,0,NA
496,0,0,0,NA
497,0,0,0,NA
498,0,0,0,NA
499,0,0,0,NA
500,4,25,29,0.13793103448275862
501,0,0,0,NA
502,0,0,0,NA
503,0,0,0,NA
504,0,0,0,NA
505,1,3,4,0.25
506,0,0,0,NA
507,0,6,6,0
508,0,4,4,0
509,0,0,0,NA
510,3,4,7,0.42857142857142855
511,0,0,0,NA
512,0,1,1,0
513,0,0,0,NA
514,0,0,0,NA
515,0,0,0,NA
516,0,0,0,NA
517,3,15,18,0.16666666666666666
518,0,0,0,NA
519,0,0,0,NA
520,0,0,0,NA
521,0,0,0,NA
522,0,0,0,NA
523,0,2,2,0
524,0,0,0,NA
525,0,3,3,0
526,4,42,46,0.08695652173913043
527,0,0,0,NA
528,0,0,0,NA
529,0,0,0,NA
530,0,0,0,NA
531,0,0,0,NA
532,0,0,0,NA
533,0,0,0,NA
534,0,0,0,NA
535,0,0,0,NA
536,0,0,0,NA
537,0,26,26,0
538,0,0,0,NA
539,0,0,0,NA
540,0,0,0,NA
541,0,0,0,NA
542,0,0,0,NA
543,0,3,3,0
544,0,0,0,NA
545,0,0,0,NA
546,0,0,0,NA
547,0,0,0,NA
548,0,0,0,NA
549,0,0,0,NA
550,0,2,2,0
551,0,13,13,0
552,0,0,0,NA
553,0,0,0,NA
554,0,0,0,NA
555,0,0,0,NA
556,0,0,0,NA
557,0,0,0,NA
558,0,0,0,NA
559,2,6,8,0.25
560,0,0,0,NA
561,0,0,0,NA
562,0,3,3,0
563,7,4,11,0.6363636363636364
564,0,0,0,NA
565,0,0,0,NA
566,0,0,0,NA
567,0,0,0,NA
568,0,0,0,NA
569,0,0,0,NA
570,0,0,0,NA
571,0,0,0,NA
572,0,1,1,0
573,0,1,1,0
574,0,0,0,NA
575,0,0,0,NA
576,0,0,0,NA
577,0,0,0,NA
578,0,0,0,NA
579,0,0,0,NA
580,0,0,0,NA
581,0,0,0,NA
582,0,0,0,NA
583,0,0,0,NA
584,1,6,7,0.14285714285714285
585,7,36,43,0.16279069767441862
586,0,0,0,NA
587,0,0,0,NA
588,0,0,0,NA
589,0,4,4,0
590,0,0,0,NA
591,0,0,0,NA
592,0,0,0,NA
593,0,0,0,NA
594,0,0,0,NA
595,0,0,0,NA
596,0,0,0,NA
597,0,0,0,NA
598,0,0,0,NA
599,0,0,0,NA
600,0,0,0,NA
601,0,0,0,NA
602,0,6,6,0
603,0,0,0,NA
604,0,0,0,NA
605,0,0,0,NA
606,0,0,0,NA
607,0,0,0,NA
608,0,0,0,NA
609,0,0,0,NA
610,0,0,0,NA
611,0,0,0,NA
612,0,0,0,NA
613,0,0,0,NA
614,0,0,0,NA
615,0,0,0,NA
616,0,0,0,NA
617,0,0,0,NA
618,0,0,0,NA
619,0,0,0,NA
620,0,0,0,NA
621,0,0,0,NA
622,0,0,0,NA
623,0,0,0,NA
624,0,0,0,NA
625,0,0,0,NA
626,0,1,1,0
627,0,0,0,NA
628,0,0,0,NA
629,0,0,0,NA
630,0,0,0,NA
631,0,4,4,0
632,0,0,0,NA
633,0,18,18,0
634,0,0,0,NA
635,0,0,0,NA
636,0,0,0,NA
637,0,1,1,0
638,0,0,0,NA
639,0,0,0,NA
640,0,0,0,NA
641,0,0,0,NA
642,0,0,0,NA
643,0,0,0,NA
644,0,0,0,NA
645,0,0,0,NA
646,0,0,0,NA
647,0,0,0,NA
648,0,0,0,NA
649,1,7,8,0.125
650,0,0,0,NA
651,0,0,0,NA
652,0,0,0,NA
653,0,4,4,0
654,0,6,6,0
655,2,1,3,0.6666666666666666
656,0,1,1,0
657,0,0,0,NA
658,0,0,0,NA
659,0,0,0,NA
660,0,0,0,NA
661,0,0,0,NA
662,0,0,0,NA
663,0,0,0,NA
664,0,0,0,NA
665,0,0,0,NA
666,0,0,0,NA
