casualty_group,total_incidents,civil_defense_region,country,year,month,killed,injured,total_casualties,time_binary,lethality_category
2671,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2673,1,4: Eastern,England,1940,8,0,0,0,0,NA
2674,1,4: Eastern,England,1940,8,0,0,0,0,NA
2675,1,4: Eastern,England,1940,8,0,0,0,0,NA
2676,1,4: Eastern,England,1940,8,0,0,0,0,NA
2677,1,4: Eastern,England,1940,8,0,0,0,0,NA
2678,1,4: Eastern,England,1940,8,0,0,0,0,NA
2679,1,4: Eastern,England,1940,8,0,0,0,0,NA
2680,1,4: Eastern,England,1940,8,0,0,0,0,NA
2681,1,4: Eastern,England,1940,8,0,0,0,0,NA
2682,1,4: Eastern,England,1940,8,0,0,0,0,NA
2683,1,4: Eastern,England,1940,8,0,0,0,0,NA
2684,1,4: Eastern,England,1940,8,0,1,1,0,low
2685,1,4: Eastern,England,1940,8,0,0,0,0,NA
2686,1,4: Eastern,England,1940,8,0,0,0,0,NA
2687,1,4: Eastern,England,1940,8,1,9,10,0,low
2688,1,4: Eastern,England,1940,8,0,0,0,0,NA
2689,1,4: Eastern,England,1940,8,0,0,0,0,NA
2690,1,4: Eastern,England,1940,8,0,0,0,0,NA
2691,1,4: Eastern,England,1940,8,5,45,50,0,low
2692,1,4: Eastern,England,1940,8,0,0,0,0,NA
2694,1,4: Eastern,England,1940,8,0,0,0,0,NA
2695,1,4: Eastern,England,1940,8,0,0,0,0,NA
2696,1,4: Eastern,England,1940,8,0,0,0,0,NA
2697,1,5: London,England,1940,8,3,60,63,0,low
2698,1,5: London,England,1940,8,0,0,0,0,NA
2699,1,5: London,England,1940,8,0,0,0,0,NA
2700,1,5: London,England,1940,8,1,14,15,0,low
2701,1,12: South Eastern,England,1940,8,0,0,0,0,NA
2702,1,12: South Eastern,England,1940,8,0,4,4,0,low
2703,1,12: South Eastern,England,1940,8,0,0,0,0,NA
2704,1,12: South Eastern,England,1940,8,0,0,0,0,NA
2705,1,12: South Eastern,England,1940,8,0,0,0,0,NA
2706,1,12: South Eastern,England,1940,8,1,4,5,0,low
2707,1,12: South Eastern,England,1940,8,0,0,0,0,NA
2708,1,12: South Eastern,England,1940,8,2,2,4,0,medium
2709,1,12: South Eastern,England,1940,8,0,0,0,0,NA
2710,1,12: South Eastern,England,1940,8,0,0,0,0,NA
2711,1,12: South Eastern,England,1940,8,0,0,0,0,NA
2712,1,12: South Eastern,England,1940,8,0,2,2,0,low
2713,18,2: North Eastern,England,1940,8,0,1,1,1,low
2714,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2715,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2716,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2717,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2718,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2719,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2720,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2721,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2722,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2723,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2724,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2725,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2726,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2727,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2728,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2729,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2730,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2731,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2732,1,4: Eastern,England,1940,8,0,0,0,1,NA
2733,1,4: Eastern,England,1940,8,0,0,0,1,NA
2734,1,4: Eastern,England,1940,8,0,0,0,1,NA
2735,1,4: Eastern,England,1940,8,0,0,0,1,NA
2736,1,4: Eastern,England,1940,8,0,1,1,1,low
2737,1,4: Eastern,England,1940,8,0,0,0,1,NA
2738,1,4: Eastern,England,1940,8,0,0,0,1,NA
2739,1,4: Eastern,England,1940,8,0,0,0,1,NA
2740,1,4: Eastern,England,1940,8,0,0,0,1,NA
2741,1,4: Eastern,England,1940,8,0,0,0,1,NA
2742,1,4: Eastern,England,1940,8,0,0,0,1,NA
2743,1,4: Eastern,England,1940,8,0,0,0,1,NA
2744,1,4: Eastern,England,1940,8,0,0,0,1,NA
2745,1,4: Eastern,England,1940,8,0,0,0,1,NA
2746,1,4: Eastern,England,1940,8,0,0,0,1,NA
2747,1,5: London,England,1940,8,0,0,0,1,NA
2748,1,5: London,England,1940,8,0,0,0,1,NA
2749,1,5: London,England,1940,8,1,76,77,1,low
2750,1,5: London,England,1940,8,2,6,8,1,low
2751,1,6: Southern,England,1940,8,0,0,0,1,NA
2752,1,6: Southern,England,1940,8,0,0,0,1,NA
2753,1,6: Southern,England,1940,8,0,0,0,1,NA
2754,1,6: Southern,England,1940,8,0,0,0,1,NA
2755,1,6: Southern,England,1940,8,0,0,0,1,NA
2756,1,6: Southern,England,1940,8,0,0,0,1,NA
2757,1,7: South Western,England,1940,8,0,0,0,1,NA
2758,1,7: South Western,England,1940,8,0,0,0,1,NA
2759,1,7: South Western,England,1940,8,0,0,0,1,NA
2760,1,7: South Western,England,1940,8,0,0,0,1,NA
2761,1,6: Southern,England,1940,8,0,1,1,1,low
2762,1,7: South Western,England,1940,8,0,0,0,1,NA
2763,1,7: South Western,England,1940,8,0,0,0,1,NA
2764,1,7: South Western,England,1940,8,0,0,0,1,NA
2765,1,8: Wales,Wales,1940,8,3,1,4,1,high
2767,1,8: Wales,Wales,1940,8,0,0,0,1,NA
2768,1,8: Wales,Wales,1940,8,0,0,0,1,NA
2769,1,10: North Western,England,1940,8,0,0,0,1,NA
2770,1,10: North Western,England,1940,8,0,0,0,1,NA
2771,1,10: North Western,England,1940,8,0,0,0,1,NA
2772,1,10: North Western,England,1940,8,0,0,0,1,NA
2773,1,10: North Western,England,1940,8,0,0,0,1,NA
2774,1,10: North Western,England,1940,8,0,0,0,1,NA
2775,1,10: North Western,England,1940,8,0,0,0,1,NA
2776,1,10: North Western,England,1940,8,0,1,1,1,low
2777,1,10: North Western,England,1940,8,0,0,0,1,NA
2778,1,10: North Western,England,1940,8,0,0,0,1,NA
2779,1,10: North Western,England,1940,8,0,5,5,1,low
2780,1,10: North Western,England,1940,8,0,0,0,1,NA
2781,1,10: North Western,England,1940,8,0,0,0,1,NA
2782,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2783,1,12: South Eastern,England,1940,8,1,2,3,1,medium
2784,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2785,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2786,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2787,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2788,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2789,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2790,1,1: Northern,England,1940,8,0,0,0,1,NA
2791,1,1: Northern,England,1940,8,0,0,0,1,NA
2792,1,1: Northern,England,1940,8,0,0,0,1,NA
2793,1,1: Northern,England,1940,8,0,0,0,1,NA
2794,1,1: Northern,England,1940,8,0,0,0,1,NA
2795,1,1: Northern,England,1940,8,0,0,0,1,NA
2796,1,1: Northern,England,1940,8,0,0,0,1,NA
2797,1,2: North Eastern,England,1940,8,0,70,70,1,low
2798,1,2: North Eastern,England,1940,8,1,31,32,1,low
2799,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2800,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2801,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2802,1,3: North Midlands,England,1940,8,0,0,0,1,NA
2803,1,4: Eastern,England,1940,8,0,0,0,1,NA
2804,1,4: Eastern,England,1940,8,0,0,0,1,NA
2805,1,4: Eastern,England,1940,8,0,0,0,1,NA
2806,1,4: Eastern,England,1940,8,0,0,0,1,NA
2807,1,4: Eastern,England,1940,8,0,0,0,1,NA
